Regiao_Administrativa,Cluster_Id,Cluster_Nome
Arapoanga,0,Baixo Risco
Arniqueira,0,Baixo Risco
Brasília (Plano Piloto),0,Baixo Risco
Brazlândia,1,Médio Risco
Candangolândia,1,Médio Risco
Ceilândia,1,Médio Risco
Cruzeiro,0,Baixo Risco
Fercal,2,Alto Risco
Gama,1,Médio Risco
Guará,0,Baixo Risco
Itapoã,1,Médio Risco
Jardim Botânico,0,Baixo Risco
Lago Norte,0,Baixo Risco
Lago Sul,0,Baixo Risco
Núcleo Bandeirante,0,Baixo Risco
Paranoá,1,Médio Risco
Park Way,0,Baixo Risco
Planaltina,1,Médio Risco
Recanto das Emas,1,Médio Risco
Riacho Fundo,0,Baixo Risco
Riacho Fundo II,0,Baixo Risco
SCIA/Estrutural,1,Médio Risco
SIA,2,Alto Risco
Samambaia,1,Médio Risco
Santa Maria,1,Médio Risco
Sobradinho,1,Médio Risco
Sobradinho II,0,Baixo Risco
Sol Nascente/Pôr do Sol,0,Baixo Risco
Sudoeste/Octogonal,0,Baixo Risco
São Sebastião,1,Médio Risco
Taguatinga,1,Médio Risco
Varjão,0,Baixo Risco
Vicente Pires,0,Baixo Risco
Água Quente,0,Baixo Risco
Águas Claras,0,Baixo Risco
Unidades Prisionais,-1,Não Classificado (Especial)
